Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
These true transit times include no white noise.
#body	ntrans	tt
1.0	0.0	1.3746256758458912
1.0	1.0	3.14371260907501
1.0	2.0	4.912811203394085
1.0	3.0	6.681904025841504
1.0	4.0	8.451023916713893
1.0	5.0	10.220112644601613
1.0	6.0	11.989215753506869
1.0	7.0	13.758309572003782
1.0	8.0	15.527434860821813
1.0	9.0	17.29652729583904
1.0	10.0	19.065636933781207
1.0	11.0	20.834733156021684
1.0	12.0	22.60386376036331
1.0	13.0	24.37295811623335
1.0	14.0	26.142072119750082
1.0	15.0	27.911169287748635
1.0	16.0	29.680305424146354
1.0	17.0	31.44940330181271
1.0	18.0	33.21852369979024
1.0	19.0	34.98762360634282
1.0	20.0	36.75676703592762
1.0	21.0	38.5258690235205
1.0	22.0	40.29499457636848
1.0	23.0	42.064094961155206
1.0	24.0	43.83324373001233
1.0	25.0	45.6023491830565
1.0	26.0	47.37148091988638
1.0	27.0	49.14058370515704
1.0	28.0	50.909739546477795
1.0	29.0	52.67885024147108
1.0	30.0	54.44798933668062
1.0	31.0	56.21709401253611
1.0	32.0	57.98625479778275
1.0	33.0	59.7553684245795
1.0	34.0	61.52451347792521
1.0	35.0	63.293620351701975
1.0	36.0	65.06278756214306
1.0	37.0	66.83190591679886
1.0	38.0	68.60105857765302
1.0	39.0	70.37016927497461
1.0	40.0	72.13934300327674
1.0	41.0	73.90846444712952
1.0	42.0	75.67762220883742
1.0	43.0	77.44673489732668
1.0	44.0	79.21591443940997
1.0	45.0	80.9850399736315
1.0	46.0	82.75420452049002
1.0	47.0	84.52332091890275
1.0	48.0	86.29250774113461
1.0	49.0	88.06163817783818
1.0	50.0	89.83080841228366
1.0	51.0	91.5999263478443
1.0	52.0	93.36911793099716
1.0	53.0	95.13825191557407
1.0	54.0	96.90742803970352
1.0	55.0	98.67654914176092
1.0	56.0	100.44574691262096
1.0	57.0	102.21488596173003
1.0	58.0	103.98406911082566
1.0	59.0	105.7531932555139
1.0	60.0	107.52239504596218
1.0	61.0	109.29153658729047
1.0	62.0	111.06072471477091
1.0	63.0	112.82985146529973
1.0	64.0	114.59905807627365
1.0	65.0	116.36820371076465
1.0	66.0	118.13739816611633
1.0	67.0	119.90652905218303
1.0	68.0	121.67574070487171
1.0	69.0	123.44488902343437
1.0	70.0	125.21408719243482
1.0	71.0	126.98321988014504
1.0	72.0	128.75243502529338
1.0	73.0	130.52158634597436
1.0	74.0	132.2907895934768
1.0	75.0	134.05992559995502
1.0	76.0	135.82914540497586
1.0	77.0	137.59830065537244
1.0	78.0	139.36750822979957
1.0	79.0	141.1366454088129
1.0	80.0	142.90586697449908
1.0	81.0	144.67502414714545
1.0	82.0	146.44423549808562
1.0	83.0	148.21337492903695
1.0	84.0	149.98259949544445
1.0	85.0	151.7517598667182
1.0	86.0	153.52097611222416
1.0	87.0	155.29011794133112
1.0	88.0	157.0593435955234
1.0	89.0	158.8285044832155
1.0	90.0	160.59772309102118
1.0	91.0	162.366866086144
1.0	92.0	164.1360930283554
1.0	93.0	165.90525579545647
1.0	94.0	167.67447795066983
1.0	95.0	169.4436234207824
1.0	96.0	171.21285212785006
1.0	97.0	172.98201577784494
1.0	98.0	174.75123895937577
1.0	99.0	176.52038417151198
1.0	100.0	178.28961254144087
1.0	101.0	180.05877673672512
1.0	102.0	181.82800190895796
1.0	103.0	183.59714825823903
1.0	104.0	185.36637733876705
1.0	105.0	187.13554312614724
1.0	106.0	188.90476996451616
1.0	107.0	190.67391552915797
1.0	108.0	192.44314239686355
1.0	109.0	194.2123073474504
1.0	110.0	195.98153461748734
1.0	111.0	197.75067996652797
1.0	112.0	199.51990584423766
1.0	113.0	201.2890711775981
1.0	114.0	203.0582999549806
1.0	115.0	204.82744559971616
1.0	116.0	206.59666914166883
1.0	117.0	208.3658322999254
1.0	118.0	210.1350597217679
1.0	119.0	211.90420390339568
1.0	120.0	213.67342485673726
1.0	121.0	215.44258700544015
1.0	122.0	217.21181423962116
1.0	123.0	218.98095823451877
1.0	124.0	220.75017748679966
1.0	125.0	222.5193382333964
1.0	126.0	224.2885630344972
1.0	127.0	226.05770408920944
1.0	128.0	227.82691928371787
1.0	129.0	229.5960777560249
1.0	130.0	231.36530068190768
1.0	131.0	233.1344402730465
1.0	132.0	234.9036525893025
1.0	133.0	236.67281002830714
1.0	134.0	238.44203124986961
1.0	135.0	240.21116803819314
1.0	136.0	241.98037485964596
1.0	137.0	243.74952869024128
1.0	138.0	245.5187464747578
1.0	139.0	247.28788068238646
1.0	140.0	249.05708328913897
1.0	141.0	250.82623490458354
1.0	142.0	252.59545037942007
1.0	143.0	254.36458302661777
1.0	144.0	256.13378082588315
1.0	145.0	257.90292809857056
1.0	146.0	259.6721383947879
1.0	147.0	261.44126752438024
1.0	148.0	263.210459895432
1.0	149.0	264.9796038623899
1.0	150.0	266.7488103392534
1.0	151.0	268.51793743716553
1.0	152.0	270.2871256535873
1.0	153.0	272.05626661656424
1.0	154.0	273.82546762609854
1.0	155.0	275.5945902969688
1.0	156.0	277.36377189913765
1.0	157.0	279.1329086362384
1.0	158.0	280.9021044969559
1.0	159.0	282.6712244502269
1.0	160.0	284.44040089147165
1.0	161.0	286.2095348890871
1.0	162.0	287.97872638050467
1.0	163.0	289.74784312723204
1.0	164.0	291.51701226085424
1.0	165.0	293.286141004879
1.0	166.0	295.05532617215067
1.0	167.0	296.8244397053495
1.0	168.0	298.5936028151773
1.0	169.0	300.3627280080691
1.0	170.0	302.13190823141485
1.0	171.0	303.9010200970806
1.0	172.0	305.6701773912646
1.0	173.0	307.4392975717783
1.0	174.0	309.2084703114815
1.0	175.0	310.9775785105303
1.0	176.0	312.74672907730564
1.0	177.0	314.5158451530151
1.0	178.0	316.2850120831281
1.0	179.0	318.0541183874011
1.0	180.0	319.8232638165355
1.0	181.0	321.5923767709173
1.0	182.0	323.36153713520616
1.0	183.0	325.13063960848376
1.0	184.0	326.8997775022872
1.0	185.0	328.6688859136775
1.0	186.0	330.43803992215544
1.0	187.0	332.2071403367445
1.0	188.0	333.9762725257315
1.0	189.0	335.74537809658796
1.0	190.0	337.5145271890797
1.0	191.0	339.28362582530826
1.0	192.0	341.05275080678985
1.0	193.0	342.8218512199819
1.0	194.0	344.5909934742376
1.0	195.0	346.3600899740122
1.0	196.0	348.1292090425268
1.0	197.0	349.89830627059564
1.0	198.0	351.66744345379993
1.0	199.0	353.43653961783275
1.0	200.0	355.205653806217
1.0	201.0	356.9747471138835
1.0	202.0	358.7438771915622
1.0	203.0	360.51297087501734
1.0	204.0	362.28207915788516
1.0	205.0	364.0511692254804
1.0	206.0	365.8202941333875
1.0	207.0	367.5893872543238
1.0	208.0	369.35849156649783
1.0	209.0	371.1275799344294
1.0	210.0	372.8966998667456
1.0	211.0	374.6657908298075
1.0	212.0	376.43488903157413
1.0	213.0	378.20397411473095
1.0	214.0	379.97308913152665
1.0	215.0	381.7421794408001
1.0	216.0	383.5112737445161
1.0	217.0	385.28035742836073
1.0	218.0	387.04946947237477
1.0	219.0	388.8185599553399
1.0	220.0	390.5876496084966
1.0	221.0	392.356729850173
1.0	222.0	394.1258370759897
1.0	223.0	395.8949269182049
1.0	224.0	397.6640131017193
1.0	225.0	399.4330919715576
1.0	226.0	401.20219646254554
1.0	227.0	402.97128750756383
1.0	228.0	404.7403718964197
1.0	229.0	406.5094493655488
1.0	230.0	408.2785495487042
1.0	231.0	410.0476395585574
1.0	232.0	411.8167209979147
1.0	233.0	413.5857974011451
1.0	234.0	415.3548951554112
1.0	235.0	417.1239861822687
1.0	236.0	418.8930667839013
1.0	237.0	420.6621440523304
1.0	238.0	422.43124021822587
1.0	239.0	424.2003311160952
1.0	240.0	425.9694089423865
1.0	241.0	427.73848536610603
1.0	242.0	429.50757954921573
1.0	243.0	431.27667153952643
1.0	244.0	433.04574887035415
1.0	245.0	434.81482653319836
1.0	246.0	436.5839207614772
1.0	247.0	438.35301522165537
1.0	248.0	440.122091865167
1.0	249.0	441.89116909960285
1.0	250.0	443.66026130178943
1.0	251.0	445.42935712682083
1.0	252.0	447.19843375496566
1.0	253.0	448.96751260757446
1.0	254.0	450.7366048274562
1.0	255.0	452.50570399919525
1.0	256.0	454.2747824867256
1.0	257.0	456.043863626197
1.0	258.0	457.8129545059055
1.0	259.0	459.5820549670607
1.0	260.0	461.3511337330565
1.0	261.0	463.12021710537374
1.0	262.0	464.88930799253285
1.0	263.0	466.6584119624458
1.0	264.0	468.42749298363924
1.0	265.0	470.1965807196684
1.0	266.0	471.96567270020023
1.0	267.0	473.7347796615213
1.0	268.0	475.503861005418
1.0	269.0	477.27295123040676
1.0	270.0	479.04204325797036
1.0	271.0	480.81115408986807
1.0	272.0	482.5802377257496
1.0	273.0	484.3493326054886
1.0	274.0	486.11842651152983
1.0	275.0	487.88754296302795
1.0	276.0	489.6566290683113
1.0	277.0	491.42572718299925
1.0	278.0	493.1948206569068
1.0	279.0	494.9639412597753
1.0	280.0	496.7330298079178
1.0	281.0	498.5021328176372
1.0	282.0	500.2712278175168
1.0	283.0	502.0403544981964
1.0	284.0	503.8094473425299
1.0	285.0	505.57855626149103
1.0	286.0	507.3476517708041
1.0	287.0	509.11678244685754
1.0	288.0	510.88587757153437
1.0	289.0	512.654991665855
1.0	290.0	514.42408851441
1.0	291.0	516.1932251285762
1.0	292.0	517.9623243953101
1.0	293.0	519.7314455821179
1.0	294.0	521.5005451692268
1.0	295.0	523.2696875389665
1.0	296.0	525.0387890962884
1.0	297.0	526.8079151073471
1.0	298.0	528.5770159717649
1.0	299.0	530.3461641967297
1.0	300.0	532.1152695687488
1.0	301.0	533.8844023230486
1.0	302.0	535.6535062389448
1.0	303.0	537.4226619717665
1.0	304.0	539.1917716753669
1.0	305.0	540.9609098150395
1.0	306.0	542.7300145151094
1.0	307.0	544.499175700359
1.0	308.0	546.268289020285
1.0	309.0	548.0374334552325
1.0	310.0	549.8065408342518
1.0	311.0	551.5757090961561
1.0	312.0	553.3448277390562
1.0	313.0	555.1139795235358
1.0	314.0	556.8830890376121
1.0	315.0	558.6522621302865
1.0	316.0	560.4213837287389
1.0	317.0	562.1905413665809
1.0	318.0	563.9596532741562
1.0	319.0	565.7288325568661
1.0	320.0	567.4979588454589
1.0	321.0	569.2671238859184
1.0	322.0	571.0362397707067
1.0	323.0	572.8054252145812
1.0	324.0	574.5745544843376
1.0	325.0	576.3437243457884
1.0	326.0	578.1128423237242
1.0	327.0	579.8820330989547
1.0	328.0	581.6511662798002
1.0	329.0	583.4203425687738
1.0	330.0	585.1894643059932
1.0	331.0	586.9586617792957
1.0	332.0	588.7277996093035
1.0	333.0	590.4969811607152
1.0	334.0	592.2661044327542
1.0	335.0	594.0353059936315
1.0	336.0	595.8044470367022
1.0	337.0	597.5736339734867
1.0	338.0	599.342760334257
1.0	339.0	601.1119673298672
1.0	340.0	602.881113033276
1.0	341.0	604.6503064259887
1.0	342.0	606.4194356831722
1.0	343.0	608.1886458862573
1.0	344.0	609.9577936334535
1.0	345.0	611.7269913810305
1.0	346.0	613.496123007033
1.0	347.0	615.2653371505439
1.0	348.0	617.0344884861261
1.0	349.0	618.8036918854341
1.0	350.0	620.5728273279965
1.0	351.0	622.3420455632731
1.0	352.0	624.1111990436912
1.0	353.0	625.8804054511711
1.0	354.0	627.6495422995649
1.0	355.0	629.4187630186789
1.0	356.0	631.1879189163446
1.0	357.0	632.9571296540089
1.0	358.0	634.726269364357
1.0	359.0	636.4954936904833
1.0	360.0	638.2646528892219
1.0	361.0	640.0338671831414
1.0	362.0	641.8030075561255
1.0	363.0	643.5722325607203
1.0	364.0	645.3413930120878
1.0	365.0	647.1106102624908
1.0	366.0	648.8797523258254
1.0	367.0	650.6489792373031
1.0	368.0	652.4181421855465
1.0	369.0	654.1873634797521
1.0	370.0	655.9565073400736
1.0	371.0	657.7257342576049
1.0	372.0	659.494897000026
1.0	373.0	661.2641197610646
1.0	374.0	663.0332641410641
1.0	375.0	664.8024912653491
1.0	376.0	666.5716551411897
1.0	377.0	668.3408805290237
1.0	378.0	670.1100267120637
1.0	379.0	671.8792545408942
1.0	380.0	673.6484185694717
1.0	381.0	675.4176440443844
1.0	382.0	677.186789277941
1.0	383.0	678.9560157246888
1.0	384.0	680.7251795507036
1.0	385.0	682.4944060435519
1.0	386.0	684.2635517180897
1.0	387.0	686.0327778551728
1.0	388.0	687.8019425333478
1.0	389.0	689.5711697153747
1.0	390.0	691.3403139230795
1.0	391.0	693.1095368689857
1.0	392.0	694.8786999834701
1.0	393.0	696.6479265955277
1.0	394.0	698.4170699180104
1.0	395.0	700.1862909379415
1.0	396.0	701.9554537283257
1.0	397.0	703.7246808414347
1.0	398.0	705.4938238132745
1.0	399.0	707.2630416220054
1.0	400.0	709.0322015513666
1.0	401.0	710.8014262984507
1.0	402.0	712.5705671873875
1.0	403.0	714.3397815702483
1.0	404.0	716.1089398311451
1.0	405.0	717.8781634019688
1.0	406.0	719.6473035230301
1.0	407.0	721.4165154299699
1.0	408.0	723.185671675019
1.0	409.0	724.9548918460496
1.0	410.0	726.724028501194
1.0	411.0	728.4932356169447
1.0	412.0	730.2623889916576
2.0	0.0	1.578404825180769
2.0	1.0	5.129692650400102
2.0	2.0	8.681444267742336
2.0	3.0	12.232707620598376
2.0	4.0	15.784413990564644
2.0	5.0	19.335675408598036
2.0	6.0	22.887340945657343
2.0	7.0	26.438559274654835
2.0	8.0	29.990166475996375
2.0	9.0	33.541368717327714
2.0	10.0	37.09294185740873
2.0	11.0	40.644114777911454
2.0	12.0	44.19561257166788
2.0	13.0	47.746760450303555
2.0	14.0	51.2982070078142
2.0	15.0	54.849352913443
2.0	16.0	58.400719597470015
2.0	17.0	61.95182992890477
2.0	18.0	65.5031382041052
2.0	19.0	69.05423639761284
2.0	20.0	72.60549970017746
2.0	21.0	76.15654656896368
2.0	22.0	79.7077451706864
2.0	23.0	83.25876876572147
2.0	24.0	86.80993020487949
2.0	25.0	90.36092550773174
2.0	26.0	93.91200953954831
2.0	27.0	97.46297570038587
2.0	28.0	101.01401189900935
2.0	29.0	104.56497438717633
2.0	30.0	108.11594317480922
2.0	31.0	111.66686573484913
2.0	32.0	115.21778857102618
2.0	33.0	118.76869595656171
2.0	34.0	122.31959460210055
2.0	35.0	125.87045096838847
2.0	36.0	129.4213048997335
2.0	37.0	132.97213891381398
2.0	38.0	136.52297726087272
2.0	39.0	140.07379207992926
2.0	40.0	143.62457567965612
2.0	41.0	147.1753663350828
2.0	42.0	150.7261284138076
2.0	43.0	154.2769226380624
2.0	44.0	157.8276505903341
2.0	45.0	161.37841055635363
2.0	46.0	164.92912248708308
2.0	47.0	168.4798750267364
2.0	48.0	172.03059826930985
2.0	49.0	175.58131235605106
2.0	50.0	179.1320241051726
2.0	51.0	182.68272865656763
2.0	52.0	186.23345703165978
2.0	53.0	189.78416377073154
2.0	54.0	193.33486930979416
2.0	55.0	196.88557077897713
2.0	56.0	200.4362861616537
2.0	57.0	203.98701265221462
2.0	58.0	207.53772895038128
2.0	59.0	211.08844282850623
2.0	60.0	214.63917065691203
2.0	61.0	218.18990214867517
2.0	62.0	221.74066952290013
2.0	63.0	225.29139275616035
2.0	64.0	228.8421715782024
2.0	65.0	232.39291389472783
2.0	66.0	235.94372962089255
2.0	67.0	239.49451006529853
2.0	68.0	243.04532228969038
2.0	69.0	246.5961300660856
2.0	70.0	250.14696850348264
2.0	71.0	253.69783395109698
2.0	72.0	257.24869290413335
2.0	73.0	260.7995775048621
2.0	74.0	264.35045942896977
2.0	75.0	267.90139468293637
2.0	76.0	271.4523266972974
2.0	77.0	275.00328893307596
2.0	78.0	278.5542379487306
2.0	79.0	282.1052481052466
2.0	80.0	285.65623849537224
2.0	81.0	289.20731849083677
2.0	82.0	292.7583110346459
2.0	83.0	296.30944323167205
2.0	84.0	299.86046485370025
2.0	85.0	303.4116757689044
2.0	86.0	306.9627256435342
2.0	87.0	310.5139745832421
2.0	88.0	314.0650476180017
2.0	89.0	317.6163644688204
2.0	90.0	321.16748660895973
2.0	91.0	324.7188488310203
2.0	92.0	328.26998317893595
2.0	93.0	331.82140298280865
2.0	94.0	335.37257358804345
2.0	95.0	338.9240723149851
2.0	96.0	342.4752424932085
2.0	97.0	346.02679348224774
2.0	98.0	349.577987131197
2.0	99.0	353.12961185211316
2.0	100.0	356.680833844468
2.0	101.0	360.23248962312937
2.0	102.0	363.7837274377234
2.0	103.0	367.33544058538973
2.0	104.0	370.88671877933666
2.0	105.0	374.4384698262438
2.0	106.0	377.98974877083674
2.0	107.0	381.54154103435576
2.0	108.0	385.092844768893
2.0	109.0	388.6446978985332
2.0	110.0	392.19599323906004
2.0	111.0	395.74787228694186
2.0	112.0	399.29917958844453
2.0	113.0	402.8511024424806
2.0	114.0	406.40243231412023
2.0	115.0	409.9543552505784
2.0	116.0	413.50568814435974
2.0	117.0	417.0576336826198
2.0	118.0	420.60899285040796
2.0	119.0	424.1609475812875
2.0	120.0	427.71229151217267
2.0	121.0	431.26425022119656
2.0	122.0	434.8156032525003
2.0	123.0	438.3675850862637
2.0	124.0	441.918918880634
2.0	125.0	445.4708839748055
2.0	126.0	449.0222141575068
2.0	127.0	452.5741796544753
2.0	128.0	456.1255217473954
2.0	129.0	459.6774453353137
2.0	130.0	463.22877394780517
2.0	131.0	466.78067656513304
2.0	132.0	470.33201440097764
2.0	133.0	473.8838911992498
2.0	134.0	477.4351963205263
2.0	135.0	480.9870354561135
2.0	136.0	484.5383335999213
2.0	137.0	488.0901569291018
2.0	138.0	491.64142683148384
2.0	139.0	495.19319343706593
2.0	140.0	498.7444457411766
2.0	141.0	502.29617575602606
2.0	142.0	505.84743017842993
2.0	143.0	509.39908717758954
2.0	144.0	512.950314162299
2.0	145.0	516.501920117531
2.0	146.0	520.0531426770613
2.0	147.0	523.604702076409
2.0	148.0	527.1558789568953
2.0	149.0	530.70737583749
2.0	150.0	534.2585343052633
2.0	151.0	537.8099942682311
2.0	152.0	541.3611209015362
2.0	153.0	544.9125032322481
2.0	154.0	548.4636033372954
2.0	155.0	552.0149332266301
2.0	156.0	555.5660297600552
2.0	157.0	559.1172793400474
2.0	158.0	562.6683393213898
2.0	159.0	566.21953199571
2.0	160.0	569.7705791932531
2.0	161.0	573.321728747338
2.0	162.0	576.8727238392457
2.0	163.0	580.4238126864657
2.0	164.0	583.9747842666693
2.0	165.0	587.5258408756927
2.0	166.0	591.0767836119048
2.0	167.0	594.6277680699714
2.0	168.0	598.1786824339069
2.0	169.0	601.7296251878142
2.0	170.0	605.28053693939
2.0	171.0	608.8314182800241
2.0	172.0	612.3822916797362
2.0	173.0	615.9331344561651
2.0	174.0	619.483994380571
2.0	175.0	623.0348207433708
2.0	176.0	626.5856311921962
2.0	177.0	630.136422529351
2.0	178.0	633.6872129607946
2.0	179.0	637.2379985963926
2.0	180.0	640.7887718817219
2.0	181.0	644.3395125707611
2.0	182.0	647.8902654554695
2.0	183.0	651.4409943982027
2.0	184.0	654.991755316034
2.0	185.0	658.5424585295841
2.0	186.0	662.0931904772297
2.0	187.0	665.6438864711672
2.0	188.0	669.1946167475544
2.0	189.0	672.7453323192894
2.0	190.0	676.2960296575911
2.0	191.0	679.8467427170835
2.0	192.0	683.3974370700307
2.0	193.0	686.9481751020066
2.0	194.0	690.4988781772554
2.0	195.0	694.0496009550989
2.0	196.0	697.6003071921878
2.0	197.0	701.1510465038009
2.0	198.0	704.7017869004048
2.0	199.0	708.2525316840038
2.0	200.0	711.8032694105059
2.0	201.0	715.3540302491747
2.0	202.0	718.9047958292067
2.0	203.0	722.4555997685529
2.0	204.0	726.0063660573214
2.0	205.0	729.5571851618588
3.0	0.0	3.7540471493266523
3.0	1.0	10.908360949717462
3.0	2.0	18.062563887797296
3.0	3.0	25.21680455515161
3.0	4.0	32.37114550732076
3.0	5.0	39.52601877646521
3.0	6.0	46.6806012080051
3.0	7.0	53.835548375267535
3.0	8.0	60.989924552850425
3.0	9.0	68.1441911002621
3.0	10.0	75.29849034268409
3.0	11.0	82.45288818469271
3.0	12.0	89.60781628219411
3.0	13.0	96.76245896471664
3.0	14.0	103.91747114248574
3.0	15.0	111.07191463652998
3.0	16.0	118.2262526480481
3.0	17.0	125.38061959808692
3.0	18.0	132.53508376516402
3.0	19.0	139.69007636606693
3.0	20.0	146.84478567028418
3.0	21.0	153.99986488185823
3.0	22.0	161.1543746991083
3.0	23.0	168.3087802035734
3.0	24.0	175.46320675872266
3.0	25.0	182.61772481212392
3.0	26.0	189.77276355726644
3.0	27.0	196.9275111812167
3.0	28.0	204.08261869475245
3.0	29.0	211.23714565718547
3.0	30.0	218.3915588115342
3.0	31.0	225.54597702482715
3.0	32.0	232.7004766841419
3.0	33.0	239.85548624629155
3.0	34.0	247.0101957852021
3.0	35.0	254.16525742737576
3.0	36.0	261.319731102325
3.0	37.0	268.4740860890597
3.0	38.0	275.62843819055706
3.0	39.0	282.7828719187528
3.0	40.0	289.9378144578077
3.0	41.0	297.0924577610567
3.0	42.0	304.247454744298
3.0	43.0	311.40186135238037
3.0	44.0	318.55614795023575
3.0	45.0	325.71042741974816
3.0	46.0	332.86479142308235
3.0	47.0	340.0196657688357
3.0	48.0	347.17424583854154
3.0	49.0	354.3291844781488
3.0	50.0	361.48353017214686
3.0	51.0	368.6377544743009
3.0	52.0	375.79196647694334
3.0	53.0	382.94626369932666
3.0	54.0	390.10107160452753
3.0	55.0	397.25559268146753
3.0	56.0	404.41048031672835
3.0	57.0	411.56477617518976
3.0	58.0	418.71895476896316
3.0	59.0	425.8731211144477
3.0	60.0	433.02737849159166
3.0	61.0	440.1821520887315
3.0	62.0	447.33665265422314
3.0	63.0	454.49153345264494
3.0	64.0	461.64582920866087
3.0	65.0	468.8000161857344
3.0	66.0	475.95419337181374
3.0	67.0	483.10846823873
3.0	68.0	490.26326440181583
3.0	69.0	497.41780031332746
3.0	70.0	504.5727280927822
3.0	71.0	511.7270754054189
3.0	72.0	518.881318835076
3.0	73.0	526.0355499526486
3.0	74.0	533.1898790146224
3.0	75.0	540.3447279585525
3.0	76.0	547.4993227641098
3.0	77.0	554.6543143196031
3.0	78.0	561.8087265240029
