Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.451545e6 .
These true transit times include no white noise.
#body	ntrans	tt
1.0	0.0	1.6523410007357597
1.0	1.0	3.4214478274807334
1.0	2.0	5.190538692753762
1.0	3.0	6.9596624076366425
1.0	4.0	8.728754877578467
1.0	5.0	10.497855429071933
1.0	6.0	12.26694209035486
1.0	7.0	14.036060081329197
1.0	8.0	15.805151291191578
1.0	9.0	17.574247227981687
1.0	10.0	19.343331634067
1.0	11.0	21.11244582897052
1.0	12.0	22.881537614390254
1.0	13.0	24.65062998048961
1.0	14.0	26.41971133556217
1.0	15.0	28.18881986523047
1.0	16.0	29.95791016239673
1.0	17.0	31.726998296100646
1.0	18.0	33.49607758084312
1.0	19.0	35.2651825202629
1.0	20.0	37.03427314758301
1.0	21.0	38.80335920024663
1.0	22.0	40.57243799464777
1.0	23.0	42.341539443004876
1.0	24.0	44.110628738068044
1.0	25.0	45.87971077719703
1.0	26.0	47.648787720128894
1.0	27.0	49.417886015959084
1.0	28.0	51.18697563512251
1.0	29.0	52.95605583442375
1.0	30.0	54.72513290820643
1.0	31.0	56.4942301097326
1.0	32.0	58.263320731930435
1.0	33.0	60.03239826951176
1.0	34.0	61.80147357052192
1.0	35.0	63.570567943155766
1.0	36.0	65.33965898957103
1.0	37.0	67.1087352684699
1.0	38.0	68.87781091686338
1.0	39.0	70.64690442522988
1.0	40.0	72.41599790053442
1.0	41.0	74.18507447419688
1.0	42.0	75.95415035029873
1.0	43.0	77.7232413329184
1.0	44.0	79.49233520962298
1.0	45.0	81.26141103357077
1.0	46.0	83.03048778465018
1.0	47.0	84.79957808787003
1.0	48.0	86.56867438880727
1.0	49.0	88.33775153243914
1.0	50.0	90.10683119948953
1.0	51.0	91.87592129409313
1.0	52.0	93.64501888630912
1.0	53.0	95.4140953887254
1.0	54.0	97.1831764462404
1.0	55.0	98.95226599136367
1.0	56.0	100.72136639989913
1.0	57.0	102.49044433655217
1.0	58.0	104.25952887861058
1.0	59.0	106.02861983561888
1.0	60.0	107.7977243643254
1.0	61.0	109.56680324766785
1.0	62.0	111.3358896151185
1.0	63.0	113.10497986944392
1.0	64.0	114.87408762145787
1.0	65.0	116.64316821284592
1.0	66.0	118.41225847648457
1.0	67.0	120.18134985258803
1.0	68.0	121.95046289172024
1.0	69.0	123.71954693039879
1.0	70.0	125.4886414767243
1.0	71.0	127.25773244956508
1.0	72.0	129.02684875344858
1.0	73.0	130.7959346701391
1.0	74.0	132.56503355456516
1.0	75.0	134.33412554347888
1.0	76.0	136.10324712703004
1.0	77.0	137.8723367829807
1.0	78.0	139.64144208701327
1.0	79.0	141.41053594462574
1.0	80.0	143.1796620450914
1.0	81.0	144.94875343237072
1.0	82.0	146.71786323562264
1.0	83.0	148.4869580664672
1.0	84.0	150.25608961749822
1.0	85.0	152.02518457686529
1.0	86.0	153.79430077038705
1.0	87.0	155.56339844781905
1.0	88.0	157.33253696095198
1.0	89.0	159.10163534153253
1.0	90.0	160.87075624801219
1.0	91.0	162.63985455501825
1.0	92.0	164.40899853827432
1.0	93.0	166.17810039967299
1.0	94.0	167.9472275758162
1.0	95.0	169.7163283471018
1.0	96.0	171.48547954903916
1.0	97.0	173.25458666309714
1.0	98.0	175.0237206663005
1.0	99.0	176.79282273165882
1.0	100.0	178.56197888730094
1.0	101.0	180.33108924143016
1.0	102.0	182.10022929497063
1.0	103.0	183.8693336332217
1.0	104.0	185.63849640265107
1.0	105.0	187.40761166904122
1.0	106.0	189.17675953172147
1.0	107.0	190.94586739968508
1.0	108.0	192.71503614308313
1.0	109.0	194.48415431799367
1.0	110.0	196.2533076144755
1.0	111.0	198.0224176426418
1.0	112.0	199.791592374444
1.0	113.0	201.56071491353214
1.0	114.0	203.3298752317205
1.0	115.0	205.09898917237297
1.0	116.0	206.8681713026017
1.0	117.0	208.63729833532125
1.0	118.0	210.4064640053548
1.0	119.0	212.17557961074635
1.0	120.0	213.94476696988568
1.0	121.0	215.71389776049182
1.0	122.0	217.48306963872164
1.0	123.0	219.25218862248585
1.0	124.0	221.02138255350292
1.0	125.0	222.79051870293915
1.0	126.0	224.55969746643677
1.0	127.0	226.3288189889863
1.0	128.0	228.09801706206053
1.0	129.0	229.86715616378933
1.0	130.0	231.63634027494118
1.0	131.0	233.4054646207951
1.0	132.0	235.17466802336276
1.0	133.0	236.94381153490394
1.0	134.0	238.7130024023354
1.0	135.0	240.48213093401864
1.0	136.0	242.2513391696848
1.0	137.0	244.02048517623916
1.0	138.0	245.7896801782772
1.0	139.0	247.5588109176606
1.0	140.0	249.32802309794351
1.0	141.0	251.09717252803966
1.0	142.0	252.8663730379194
1.0	143.0	254.63550745276734
1.0	144.0	256.40472479118034
1.0	145.0	258.17387802060694
1.0	146.0	259.94308261200786
1.0	147.0	261.7122183321044
1.0	148.0	263.48143813060597
1.0	149.0	265.2505936813541
1.0	150.0	267.01980251679197
1.0	151.0	268.7889409107156
1.0	152.0	270.55816426174715
1.0	153.0	272.3273234819062
1.0	154.0	274.0965374195948
1.0	155.0	275.86567790526897
1.0	156.0	277.6349024521187
1.0	157.0	279.40406266367063
1.0	158.0	281.17327955923975
1.0	159.0	282.94242158764973
1.0	160.0	284.71164806978777
1.0	161.0	286.48081056401134
1.0	162.0	288.25003156857565
1.0	163.0	290.01917642960325
1.0	164.0	291.7884047050029
1.0	165.0	293.55756785254925
1.0	166.0	295.3267902689986
1.0	167.0	297.0959354620427
1.0	168.0	298.86516397446394
1.0	169.0	300.6343281166628
1.0	170.0	302.4035530956462
1.0	171.0	304.1726998570375
1.0	172.0	305.9419297063723
1.0	173.0	307.71109552355483
1.0	174.0	309.4803220103495
1.0	175.0	311.2494680196978
1.0	176.0	313.0186963202432
1.0	177.0	314.78786180820316
1.0	178.0	316.557089258451
1.0	179.0	318.32623554905877
1.0	180.0	320.0954633890651
1.0	181.0	321.864629748743
1.0	182.0	323.63385913940147
1.0	183.0	325.4030055459589
1.0	184.0	327.17223095614463
1.0	185.0	328.9413954769261
1.0	186.0	330.7106242040172
1.0	187.0	332.47976954933256
1.0	188.0	334.248992907349
1.0	189.0	336.01815684279427
1.0	190.0	337.7873859270476
1.0	191.0	339.5565315200947
1.0	192.0	341.3257532482967
1.0	193.0	343.09491547057405
1.0	194.0	344.8641423112713
1.0	195.0	346.6332854810171
1.0	196.0	348.40250364271924
1.0	197.0	350.1716639585793
1.0	198.0	351.940889489837
1.0	199.0	353.7100315373391
1.0	200.0	355.4792473008856
1.0	201.0	357.24840677762404
1.0	202.0	359.0176304462366
1.0	203.0	360.78676945576444
1.0	204.0	362.5559800849296
1.0	205.0	364.32513643521816
1.0	206.0	366.0943571003154
1.0	207.0	367.86349388724193
1.0	208.0	369.6327006444335
1.0	209.0	371.40185512648895
1.0	210.0	373.17107391078025
1.0	211.0	374.9402089463547
1.0	212.0	376.70941051468253
1.0	213.0	378.478560697753
1.0	214.0	380.2477748412639
1.0	215.0	382.0169066293165
1.0	216.0	383.78610306885093
1.0	217.0	385.55525027262047
1.0	218.0	387.3244609213434
1.0	219.0	389.0935909417458
1.0	220.0	390.8627832499333
1.0	221.0	392.6319270199165
1.0	222.0	394.40113200014457
1.0	223.0	396.1702577872202
1.0	224.0	397.9394438127056
1.0	225.0	399.70858356449753
1.0	226.0	401.47778373537585
1.0	227.0	403.2469069059007
1.0	228.0	405.01608800003305
1.0	229.0	406.785225183703
1.0	230.0	408.5544206984341
1.0	231.0	410.3235400659032
1.0	232.0	412.09271380724385
1.0	233.0	413.8618460511789
1.0	234.0	415.6310354620218
1.0	235.0	417.40015169326216
1.0	236.0	419.1693195477128
1.0	237.0	420.9384483490139
1.0	238.0	422.7076330445707
1.0	239.0	424.47674733772874
1.0	240.0	426.2459087567404
1.0	241.0	428.0150321871042
1.0	242.0	429.7842095820233
1.0	243.0	431.55332029704005
1.0	244.0	433.3224750487134
1.0	245.0	435.0915944846347
1.0	246.0	436.8607660839334
1.0	247.0	438.62987493770197
1.0	248.0	440.39902450796217
1.0	249.0	442.16814026609063
1.0	250.0	443.9373046560213
1.0	251.0	445.70640950184315
1.0	252.0	447.47555169835687
1.0	253.0	449.24466292373836
1.0	254.0	451.0138209615834
1.0	255.0	452.78292365558445
1.0	256.0	454.55206011468545
1.0	257.0	456.3211685437709
1.0	258.0	458.0903212297708
1.0	259.0	459.8594213183969
1.0	260.0	461.62855010759085
1.0	261.0	463.3976534488611
1.0	262.0	465.16679930500686
1.0	263.0	466.935897145886
